PING 10.0.0.2 (10.0.0.2) 56(84) bytes of data.
64 bytes from 10.0.0.2: icmp_seq=211 ttl=64 time=754 ms
64 bytes from 10.0.0.2: icmp_seq=212 ttl=64 time=762 ms
64 bytes from 10.0.0.2: icmp_seq=213 ttl=64 time=765 ms
64 bytes from 10.0.0.2: icmp_seq=214 ttl=64 time=755 ms
64 bytes from 10.0.0.2: icmp_seq=215 ttl=64 time=764 ms
64 bytes from 10.0.0.2: icmp_seq=216 ttl=64 time=766 ms
64 bytes from 10.0.0.2: icmp_seq=217 ttl=64 time=769 ms
64 bytes from 10.0.0.2: icmp_seq=218 ttl=64 time=765 ms
64 bytes from 10.0.0.2: icmp_seq=219 ttl=64 time=767 ms
64 bytes from 10.0.0.2: icmp_seq=220 ttl=64 time=770 ms
64 bytes from 10.0.0.2: icmp_seq=221 ttl=64 time=768 ms
64 bytes from 10.0.0.2: icmp_seq=222 ttl=64 time=771 ms
64 bytes from 10.0.0.2: icmp_seq=223 ttl=64 time=773 ms
64 bytes from 10.0.0.2: icmp_seq=224 ttl=64 time=776 ms
64 bytes from 10.0.0.2: icmp_seq=225 ttl=64 time=774 ms
64 bytes from 10.0.0.2: icmp_seq=226 ttl=64 time=782 ms
64 bytes from 10.0.0.2: icmp_seq=227 ttl=64 time=778 ms
64 bytes from 10.0.0.2: icmp_seq=228 ttl=64 time=781 ms
64 bytes from 10.0.0.2: icmp_seq=229 ttl=64 time=778 ms
64 bytes from 10.0.0.2: icmp_seq=230 ttl=64 time=780 ms
64 bytes from 10.0.0.2: icmp_seq=231 ttl=64 time=789 ms
64 bytes from 10.0.0.2: icmp_seq=232 ttl=64 time=792 ms
64 bytes from 10.0.0.2: icmp_seq=233 ttl=64 time=788 ms
64 bytes from 10.0.0.2: icmp_seq=234 ttl=64 time=791 ms
64 bytes from 10.0.0.2: icmp_seq=235 ttl=64 time=794 ms
64 bytes from 10.0.0.2: icmp_seq=236 ttl=64 time=790 ms
64 bytes from 10.0.0.2: icmp_seq=237 ttl=64 time=792 ms
64 bytes from 10.0.0.2: icmp_seq=238 ttl=64 time=796 ms
64 bytes from 10.0.0.2: icmp_seq=239 ttl=64 time=792 ms
64 bytes from 10.0.0.2: icmp_seq=240 ttl=64 time=797 ms
64 bytes from 10.0.0.2: icmp_seq=241 ttl=64 time=805 ms
64 bytes from 10.0.0.2: icmp_seq=242 ttl=64 time=807 ms
64 bytes from 10.0.0.2: icmp_seq=243 ttl=64 time=803 ms
64 bytes from 10.0.0.2: icmp_seq=244 ttl=64 time=807 ms
64 bytes from 10.0.0.2: icmp_seq=245 ttl=64 time=809 ms
64 bytes from 10.0.0.2: icmp_seq=246 ttl=64 time=803 ms
64 bytes from 10.0.0.2: icmp_seq=247 ttl=64 time=805 ms
64 bytes from 10.0.0.2: icmp_seq=248 ttl=64 time=798 ms
64 bytes from 10.0.0.2: icmp_seq=249 ttl=64 time=796 ms
64 bytes from 10.0.0.2: icmp_seq=250 ttl=64 time=803 ms
64 bytes from 10.0.0.2: icmp_seq=251 ttl=64 time=800 ms
64 bytes from 10.0.0.2: icmp_seq=252 ttl=64 time=802 ms
64 bytes from 10.0.0.2: icmp_seq=253 ttl=64 time=809 ms
64 bytes from 10.0.0.2: icmp_seq=254 ttl=64 time=745 ms
64 bytes from 10.0.0.2: icmp_seq=255 ttl=64 time=712 ms
64 bytes from 10.0.0.2: icmp_seq=256 ttl=64 time=708 ms
64 bytes from 10.0.0.2: icmp_seq=257 ttl=64 time=717 ms
64 bytes from 10.0.0.2: icmp_seq=258 ttl=64 time=713 ms
64 bytes from 10.0.0.2: icmp_seq=259 ttl=64 time=716 ms
64 bytes from 10.0.0.2: icmp_seq=260 ttl=64 time=713 ms
64 bytes from 10.0.0.2: icmp_seq=261 ttl=64 time=714 ms
64 bytes from 10.0.0.2: icmp_seq=262 ttl=64 time=768 ms
64 bytes from 10.0.0.2: icmp_seq=263 ttl=64 time=765 ms
64 bytes from 10.0.0.2: icmp_seq=264 ttl=64 time=768 ms
64 bytes from 10.0.0.2: icmp_seq=265 ttl=64 time=774 ms
64 bytes from 10.0.0.2: icmp_seq=266 ttl=64 time=773 ms
64 bytes from 10.0.0.2: icmp_seq=267 ttl=64 time=776 ms
64 bytes from 10.0.0.2: icmp_seq=268 ttl=64 time=774 ms
64 bytes from 10.0.0.2: icmp_seq=269 ttl=64 time=786 ms
64 bytes from 10.0.0.2: icmp_seq=270 ttl=64 time=791 ms
64 bytes from 10.0.0.2: icmp_seq=271 ttl=64 time=787 ms
64 bytes from 10.0.0.2: icmp_seq=272 ttl=64 time=801 ms
64 bytes from 10.0.0.2: icmp_seq=273 ttl=64 time=791 ms
64 bytes from 10.0.0.2: icmp_seq=274 ttl=64 time=795 ms
64 bytes from 10.0.0.2: icmp_seq=275 ttl=64 time=796 ms
64 bytes from 10.0.0.2: icmp_seq=276 ttl=64 time=794 ms
64 bytes from 10.0.0.2: icmp_seq=277 ttl=64 time=796 ms
64 bytes from 10.0.0.2: icmp_seq=278 ttl=64 time=805 ms
64 bytes from 10.0.0.2: icmp_seq=279 ttl=64 time=801 ms
64 bytes from 10.0.0.2: icmp_seq=280 ttl=64 time=804 ms
64 bytes from 10.0.0.2: icmp_seq=281 ttl=64 time=806 ms
64 bytes from 10.0.0.2: icmp_seq=282 ttl=64 time=803 ms
64 bytes from 10.0.0.2: icmp_seq=283 ttl=64 time=806 ms
64 bytes from 10.0.0.2: icmp_seq=284 ttl=64 time=796 ms
64 bytes from 10.0.0.2: icmp_seq=285 ttl=64 time=817 ms
64 bytes from 10.0.0.2: icmp_seq=286 ttl=64 time=810 ms
64 bytes from 10.0.0.2: icmp_seq=287 ttl=64 time=819 ms
64 bytes from 10.0.0.2: icmp_seq=288 ttl=64 time=810 ms
64 bytes from 10.0.0.2: icmp_seq=289 ttl=64 time=810 ms
64 bytes from 10.0.0.2: icmp_seq=290 ttl=64 time=814 ms
64 bytes from 10.0.0.2: icmp_seq=291 ttl=64 time=816 ms
64 bytes from 10.0.0.2: icmp_seq=292 ttl=64 time=812 ms
64 bytes from 10.0.0.2: icmp_seq=293 ttl=64 time=814 ms
64 bytes from 10.0.0.2: icmp_seq=294 ttl=64 time=816 ms
64 bytes from 10.0.0.2: icmp_seq=295 ttl=64 time=785 ms
64 bytes from 10.0.0.2: icmp_seq=296 ttl=64 time=739 ms
64 bytes from 10.0.0.2: icmp_seq=297 ttl=64 time=688 ms
64 bytes from 10.0.0.2: icmp_seq=298 ttl=64 time=635 ms
64 bytes from 10.0.0.2: icmp_seq=299 ttl=64 time=586 ms
64 bytes from 10.0.0.2: icmp_seq=300 ttl=64 time=570 ms

--- 10.0.0.2 ping statistics ---
300 packets transmitted, 263 received, 12% packet loss, time 30381ms
rtt min/avg/max/mdev = 3.778/693.903/971.657/107.144 ms, pipe 10
