PING 10.0.0.2 (10.0.0.2) 56(84) bytes of data.
64 bytes from 10.0.0.2: icmp_seq=211 ttl=64 time=182 ms
64 bytes from 10.0.0.2: icmp_seq=212 ttl=64 time=190 ms
64 bytes from 10.0.0.2: icmp_seq=213 ttl=64 time=188 ms
64 bytes from 10.0.0.2: icmp_seq=214 ttl=64 time=202 ms
64 bytes from 10.0.0.2: icmp_seq=215 ttl=64 time=198 ms
64 bytes from 10.0.0.2: icmp_seq=216 ttl=64 time=187 ms
64 bytes from 10.0.0.2: icmp_seq=217 ttl=64 time=202 ms
64 bytes from 10.0.0.2: icmp_seq=218 ttl=64 time=161 ms
64 bytes from 10.0.0.2: icmp_seq=219 ttl=64 time=126 ms
64 bytes from 10.0.0.2: icmp_seq=220 ttl=64 time=96.1 ms
64 bytes from 10.0.0.2: icmp_seq=221 ttl=64 time=145 ms
64 bytes from 10.0.0.2: icmp_seq=222 ttl=64 time=167 ms
64 bytes from 10.0.0.2: icmp_seq=223 ttl=64 time=168 ms
64 bytes from 10.0.0.2: icmp_seq=224 ttl=64 time=171 ms
64 bytes from 10.0.0.2: icmp_seq=225 ttl=64 time=178 ms
64 bytes from 10.0.0.2: icmp_seq=226 ttl=64 time=181 ms
64 bytes from 10.0.0.2: icmp_seq=227 ttl=64 time=195 ms
64 bytes from 10.0.0.2: icmp_seq=228 ttl=64 time=192 ms
64 bytes from 10.0.0.2: icmp_seq=229 ttl=64 time=202 ms
64 bytes from 10.0.0.2: icmp_seq=230 ttl=64 time=206 ms
64 bytes from 10.0.0.2: icmp_seq=232 ttl=64 time=210 ms
64 bytes from 10.0.0.2: icmp_seq=235 ttl=64 time=227 ms
64 bytes from 10.0.0.2: icmp_seq=238 ttl=64 time=216 ms
64 bytes from 10.0.0.2: icmp_seq=239 ttl=64 time=162 ms
64 bytes from 10.0.0.2: icmp_seq=240 ttl=64 time=167 ms
64 bytes from 10.0.0.2: icmp_seq=241 ttl=64 time=139 ms
64 bytes from 10.0.0.2: icmp_seq=242 ttl=64 time=137 ms
64 bytes from 10.0.0.2: icmp_seq=243 ttl=64 time=146 ms
64 bytes from 10.0.0.2: icmp_seq=245 ttl=64 time=157 ms
64 bytes from 10.0.0.2: icmp_seq=246 ttl=64 time=141 ms
64 bytes from 10.0.0.2: icmp_seq=247 ttl=64 time=138 ms
64 bytes from 10.0.0.2: icmp_seq=248 ttl=64 time=146 ms
64 bytes from 10.0.0.2: icmp_seq=249 ttl=64 time=149 ms
64 bytes from 10.0.0.2: icmp_seq=250 ttl=64 time=152 ms
64 bytes from 10.0.0.2: icmp_seq=251 ttl=64 time=167 ms
64 bytes from 10.0.0.2: icmp_seq=252 ttl=64 time=157 ms
