PING 10.0.0.2 (10.0.0.2) 56(84) bytes of data.
64 bytes from 10.0.0.2: icmp_seq=148 ttl=64 time=762 ms
64 bytes from 10.0.0.2: icmp_seq=149 ttl=64 time=748 ms
64 bytes from 10.0.0.2: icmp_seq=150 ttl=64 time=718 ms
64 bytes from 10.0.0.2: icmp_seq=151 ttl=64 time=690 ms
64 bytes from 10.0.0.2: icmp_seq=152 ttl=64 time=662 ms
64 bytes from 10.0.0.2: icmp_seq=153 ttl=64 time=615 ms
64 bytes from 10.0.0.2: icmp_seq=154 ttl=64 time=557 ms
64 bytes from 10.0.0.2: icmp_seq=155 ttl=64 time=529 ms
64 bytes from 10.0.0.2: icmp_seq=156 ttl=64 time=508 ms
64 bytes from 10.0.0.2: icmp_seq=157 ttl=64 time=499 ms
64 bytes from 10.0.0.2: icmp_seq=158 ttl=64 time=508 ms
64 bytes from 10.0.0.2: icmp_seq=159 ttl=64 time=515 ms
64 bytes from 10.0.0.2: icmp_seq=160 ttl=64 time=507 ms
64 bytes from 10.0.0.2: icmp_seq=161 ttl=64 time=522 ms
64 bytes from 10.0.0.2: icmp_seq=162 ttl=64 time=523 ms
64 bytes from 10.0.0.2: icmp_seq=163 ttl=64 time=532 ms
64 bytes from 10.0.0.2: icmp_seq=164 ttl=64 time=540 ms
64 bytes from 10.0.0.2: icmp_seq=165 ttl=64 time=543 ms
64 bytes from 10.0.0.2: icmp_seq=166 ttl=64 time=554 ms
64 bytes from 10.0.0.2: icmp_seq=167 ttl=64 time=575 ms
64 bytes from 10.0.0.2: icmp_seq=168 ttl=64 time=579 ms
64 bytes from 10.0.0.2: icmp_seq=169 ttl=64 time=581 ms
64 bytes from 10.0.0.2: icmp_seq=170 ttl=64 time=654 ms
64 bytes from 10.0.0.2: icmp_seq=171 ttl=64 time=654 ms
64 bytes from 10.0.0.2: icmp_seq=172 ttl=64 time=663 ms
64 bytes from 10.0.0.2: icmp_seq=173 ttl=64 time=672 ms
64 bytes from 10.0.0.2: icmp_seq=174 ttl=64 time=674 ms
64 bytes from 10.0.0.2: icmp_seq=175 ttl=64 time=676 ms
64 bytes from 10.0.0.2: icmp_seq=176 ttl=64 time=756 ms
64 bytes from 10.0.0.2: icmp_seq=177 ttl=64 time=753 ms
64 bytes from 10.0.0.2: icmp_seq=178 ttl=64 time=762 ms
64 bytes from 10.0.0.2: icmp_seq=179 ttl=64 time=766 ms
64 bytes from 10.0.0.2: icmp_seq=180 ttl=64 time=768 ms
64 bytes from 10.0.0.2: icmp_seq=181 ttl=64 time=777 ms
64 bytes from 10.0.0.2: icmp_seq=182 ttl=64 time=785 ms
64 bytes from 10.0.0.2: icmp_seq=183 ttl=64 time=795 ms
64 bytes from 10.0.0.2: icmp_seq=184 ttl=64 time=808 ms
64 bytes from 10.0.0.2: icmp_seq=185 ttl=64 time=804 ms
64 bytes from 10.0.0.2: icmp_seq=186 ttl=64 time=825 ms
64 bytes from 10.0.0.2: icmp_seq=187 ttl=64 time=810 ms
64 bytes from 10.0.0.2: icmp_seq=188 ttl=64 time=819 ms
64 bytes from 10.0.0.2: icmp_seq=189 ttl=64 time=823 ms
